Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Brazil,Serie A,2017,22/06/2017,01:45,Avai,Fluminense,0,3,A,3.17,3.24,2.5,3.17,3.26,2.6,2.9,3.12,2.46
Brazil,Serie A,2017,22/06/2017,23:30,Corinthians,Bahia,3,0,H,1.53,4.15,7.53,1.53,4.3,8.5,1.49,3.92,6.99
Brazil,Serie A,2017,22/06/2017,23:30,Ponte Preta,Cruzeiro,1,0,H,2.19,3.33,3.72,2.3,3.34,3.72,2.17,3.19,3.35
Brazil,Serie A,2017,23/06/2017,01:00,Flamengo RJ,Chapecoense-SC,5,1,H,1.5,4.42,7.69,1.53,4.42,7.69,1.48,4.13,6.73
Brazil,Serie A,2017,23/06/2017,01:00,Gremio,Coritiba,2,0,H,1.55,4.18,7.06,1.57,4.22,7.66,1.53,3.88,6.29
Brazil,Serie A,2017,24/06/2017,23:00,Santos,Sport Recife,0,1,A,1.44,4.55,8.98,1.49,4.7,8.98,1.45,4.16,7.28
Brazil,Serie A,2017,25/06/2017,15:00,Vasco,Atletico GO,1,0,H,1.56,4.2,6.95,1.57,4.3,7.2,1.54,3.94,6.1
Brazil,Serie A,2017,25/06/2017,20:00,Atletico-PR,Vitoria,4,1,H,1.85,3.59,4.85,1.86,3.64,5.35,1.78,3.43,4.65
Brazil,Serie A,2017,25/06/2017,20:00,Cruzeiro,Coritiba,2,0,H,1.59,3.99,6.85,1.59,4,7.27,1.56,3.71,6.32
Brazil,Serie A,2017,25/06/2017,20:00,Gremio,Corinthians,0,1,A,1.88,3.44,4.93,1.88,3.58,4.93,1.84,3.38,4.37
Brazil,Serie A,2017,25/06/2017,20:00,Ponte Preta,Palmeiras,1,2,A,2.81,3.36,2.7,2.95,3.36,2.7,2.74,3.15,2.58
Brazil,Serie A,2017,25/06/2017,20:00,Sao Paulo,Fluminense,1,1,D,1.71,3.95,5.3,1.75,4.05,5.4,1.68,3.74,4.85
Brazil,Serie A,2017,25/06/2017,22:30,Bahia,Flamengo RJ,0,1,A,2.74,3.41,2.73,2.77,3.48,2.75,2.6,3.28,2.62
Brazil,Serie A,2017,25/06/2017,23:00,Chapecoense-SC,Atletico-MG,0,1,A,1.74,3.92,5.16,1.77,3.98,5.16,1.72,3.7,4.61
Brazil,Serie A,2017,27/06/2017,00:00,Botafogo RJ,Avai,0,2,A,1.43,4.38,10.2,1.46,4.49,11.5,1.42,4.12,8.31
Brazil,Serie A,2017,01/07/2017,20:00,Palmeiras,Gremio,1,0,H,1.92,3.47,4.66,2.05,3.76,4.66,1.9,3.38,4.1
Brazil,Serie A,2017,01/07/2017,23:00,Atletico GO,Santos,1,1,D,2.72,3.29,2.83,2.8,3.4,2.88,2.63,3.14,2.7
Brazil,Serie A,2017,02/07/2017,20:00,Atletico-MG,Cruzeiro,3,1,H,2.49,3.41,3.03,2.52,3.41,3.2,2.38,3.2,2.98
Brazil,Serie A,2017,02/07/2017,20:00,Corinthians,Botafogo RJ,1,0,H,1.55,4.16,7.19,1.59,4.2,7.4,1.53,3.9,6.28
Brazil,Serie A,2017,02/07/2017,20:00,Flamengo RJ,Sao Paulo,2,0,H,1.61,4.08,6.28,1.66,4.1,6.28,1.59,3.81,5.7
Brazil,Serie A,2017,02/07/2017,20:00,Sport Recife,Atletico-PR,1,0,H,1.67,3.78,6.19,1.7,3.84,6.19,1.64,3.62,5.49
Brazil,Serie A,2017,02/07/2017,20:00,Vitoria,Bahia,0,0,D,2.57,3.3,3,2.67,3.3,3.16,2.47,3.1,2.92
Brazil,Serie A,2017,02/07/2017,23:00,Avai,Ponte Preta,0,0,D,2.93,3.01,2.84,2.99,3.05,2.87,2.81,2.91,2.7
Brazil,Serie A,2017,02/07/2017,23:00,Coritiba,Vasco,2,2,D,1.93,3.45,4.52,1.96,3.45,4.75,1.88,3.31,4.23
Brazil,Serie A,2017,04/07/2017,00:00,Fluminense,Chapecoense-SC,3,3,D,1.74,3.74,5.5,1.75,4,5.7,1.7,3.65,4.9
Brazil,Serie A,2017,08/07/2017,20:00,Atletico GO,Vitoria,1,2,A,2.17,3.3,3.84,2.33,3.35,3.88,2.15,3.18,3.45
Brazil,Serie A,2017,08/07/2017,22:00,Vasco,Flamengo RJ,0,1,A,3.99,3.53,2.04,3.99,3.53,2.15,3.64,3.33,2.01
Brazil,Serie A,2017,08/07/2017,23:00,Corinthians,Ponte Preta,2,0,H,1.72,3.68,5.74,1.72,3.98,6.56,1.66,3.52,5.51
Brazil,Serie A,2017,09/07/2017,15:00,Chapecoense-SC,Atletico-PR,1,1,D,1.88,3.56,4.76,1.88,3.56,4.99,1.82,3.36,4.53
Brazil,Serie A,2017,09/07/2017,20:00,Bahia,Fluminense,1,1,D,2.22,3.6,3.37,2.28,3.6,3.56,2.12,3.39,3.31
Brazil,Serie A,2017,09/07/2017,20:00,Cruzeiro,Palmeiras,3,1,H,2.14,3.21,4.06,2.2,3.3,4.06,2.08,3.22,3.61
Brazil,Serie A,2017,09/07/2017,20:00,Gremio,Avai,0,2,A,1.21,6.99,18.91,1.26,6.99,18.91,1.22,5.77,13.25
Brazil,Serie A,2017,09/07/2017,23:00,Botafogo RJ,Atletico-MG,1,1,D,2.03,3.47,4.07,2.2,3.66,4.07,2.02,3.3,3.69
Brazil,Serie A,2017,09/07/2017,23:00,Santos,Sao Paulo,3,2,H,2.32,3.39,3.33,2.34,3.4,3.7,2.21,3.2,3.3
Brazil,Serie A,2017,11/07/2017,00:00,Coritiba,Sport Recife,0,3,A,1.78,3.57,5.52,1.86,3.57,5.52,1.77,3.38,4.83
Brazil,Serie A,2017,12/07/2017,23:30,Atletico-MG,Santos,0,1,A,1.63,4.03,6.16,1.68,4.03,6.16,1.61,3.76,5.53
Brazil,Serie A,2017,12/07/2017,23:30,Ponte Preta,Bahia,0,3,A,1.91,3.44,4.73,1.95,3.56,4.9,1.87,3.31,4.29
Brazil,Serie A,2017,13/07/2017,01:00,Fluminense,Botafogo RJ,0,1,A,2.1,3.34,4.03,2.27,3.38,4.03,2.07,3.23,3.61
Brazil,Serie A,2017,13/07/2017,01:45,Atletico-PR,Cruzeiro,0,2,A,2.73,3.33,2.79,2.79,3.35,2.95,2.62,3.1,2.74
Brazil,Serie A,2017,13/07/2017,01:45,Palmeiras,Corinthians,0,2,A,2.24,3.4,3.52,2.24,3.4,3.7,2.13,3.23,3.43
Brazil,Serie A,2017,13/07/2017,01:45,Vitoria,Vasco,1,4,A,1.89,3.73,4.38,1.98,3.73,4.6,1.85,3.5,4.1
Brazil,Serie A,2017,13/07/2017,23:30,Flamengo RJ,Gremio,0,1,A,1.88,3.65,4.57,1.92,3.65,4.61,1.83,3.44,4.3
Brazil,Serie A,2017,13/07/2017,23:30,Sao Paulo,Atletico GO,2,2,D,1.39,5,9.24,1.39,5.14,10.02,1.36,4.65,8.56
Brazil,Serie A,2017,13/07/2017,23:30,Sport Recife,Chapecoense-SC,3,0,H,1.96,3.64,4.15,1.99,3.72,4.32,1.91,3.48,3.85
Brazil,Serie A,2017,14/07/2017,01:00,Avai,Coritiba,1,4,A,2.73,3.17,2.91,2.76,3.2,2.95,2.61,3,2.81
Brazil,Serie A,2017,15/07/2017,23:00,Corinthians,Atletico-PR,2,2,D,1.5,4.32,8,1.5,4.45,9.36,1.45,4.1,7.43
Brazil,Serie A,2017,16/07/2017,15:00,Palmeiras,Vitoria,4,2,H,1.28,5.95,13.3,1.31,6.16,13.35,1.26,5.46,10.8
Brazil,Serie A,2017,16/07/2017,20:00,Atletico GO,Atletico-MG,1,2,A,3.35,3.55,2.25,3.48,3.58,2.31,3.19,3.31,2.2
Brazil,Serie A,2017,16/07/2017,20:00,Chapecoense-SC,Sao Paulo,2,0,H,2.74,3.34,2.78,2.88,3.35,2.78,2.68,3.2,2.6
Brazil,Serie A,2017,16/07/2017,20:00,Cruzeiro,Flamengo RJ,1,1,D,2.44,3.33,3.18,2.57,3.35,3.18,2.38,3.23,2.94
Brazil,Serie A,2017,16/07/2017,20:00,Gremio,Ponte Preta,3,1,H,1.53,4.24,7.34,1.54,4.4,8.22,1.5,3.93,6.77
Brazil,Serie A,2017,16/07/2017,20:00,Vasco,Santos,0,0,D,2.51,3.39,3.01,2.66,3.4,3.01,2.46,3.24,2.83
Brazil,Serie A,2017,16/07/2017,23:00,Bahia,Avai,1,1,D,1.5,4.19,8.5,1.53,4.2,8.5,1.46,4.01,7.48
Brazil,Serie A,2017,16/07/2017,23:00,Coritiba,Fluminense,1,2,A,2.06,3.51,3.93,2.2,3.51,3.93,2.04,3.36,3.54
Brazil,Serie A,2017,18/07/2017,00:00,Botafogo RJ,Sport Recife,2,1,H,2.01,3.45,4.23,2.13,3.66,4.51,1.92,3.33,4.01
Brazil,Serie A,2017,19/07/2017,23:30,Santos,Chapecoense-SC,1,0,H,1.72,3.84,5.44,1.75,3.9,5.5,1.69,3.67,4.91
Brazil,Serie A,2017,19/07/2017,23:30,Vitoria,Gremio,1,3,A,3.14,3.38,2.43,3.3,3.44,2.43,3.09,3.25,2.28
Brazil,Serie A,2017,20/07/2017,01:00,Avai,Corinthians,0,0,D,4.35,3.34,2.02,4.5,3.35,2.07,3.97,3.19,1.98
Brazil,Serie A,2017,20/07/2017,01:00,Ponte Preta,Coritiba,4,0,H,1.96,3.41,4.52,1.99,3.44,4.66,1.9,3.28,4.21
Brazil,Serie A,2017,20/07/2017,01:45,Atletico-MG,Bahia,0,2,A,1.79,3.63,5.18,1.79,3.8,5.46,1.72,3.57,4.79
Brazil,Serie A,2017,20/07/2017,01:45,Flamengo RJ,Palmeiras,2,2,D,1.8,3.78,4.86,1.82,3.78,5.2,1.76,3.52,4.59
Brazil,Serie A,2017,20/07/2017,01:45,Sao Paulo,Vasco,1,0,H,1.55,4.35,6.71,1.61,4.4,6.71,1.54,3.95,5.99
Brazil,Serie A,2017,20/07/2017,23:30,Fluminense,Cruzeiro,1,1,D,2.51,3.41,3,2.59,3.41,3.02,2.44,3.2,2.85
Brazil,Serie A,2017,21/07/2017,00:00,Sport Recife,Atletico GO,4,0,H,1.49,4.44,7.77,1.5,4.6,8.03,1.47,4.16,6.8
Brazil,Serie A,2017,21/07/2017,01:00,Atletico-PR,Botafogo RJ,0,0,D,2.29,3.2,3.62,2.31,3.22,3.7,2.21,3.08,3.42
Brazil,Serie A,2017,22/07/2017,20:00,Vitoria,Chapecoense-SC,1,2,A,2.16,3.51,3.6,2.35,3.56,3.6,2.14,3.33,3.32
Brazil,Serie A,2017,22/07/2017,23:00,Flamengo RJ,Coritiba,2,1,H,1.4,4.86,9.31,1.41,4.93,9.55,1.38,4.55,8.1
Brazil,Serie A,2017,23/07/2017,15:00,Santos,Bahia,3,0,H,1.99,3.41,4.35,2.01,3.46,4.45,1.95,3.28,3.94
Brazil,Serie A,2017,23/07/2017,20:00,Avai,Cruzeiro,1,0,H,4.17,3.35,2.05,4.33,3.44,2.07,3.92,3.2,1.98
Brazil,Serie A,2017,23/07/2017,20:00,Fluminense,Corinthians,0,1,A,2.82,3.36,2.68,2.95,3.38,2.72,2.74,3.16,2.57
Brazil,Serie A,2017,23/07/2017,20:00,Sport Recife,Palmeiras,0,2,A,2.2,3.53,3.48,2.25,3.64,3.66,2.08,3.37,3.43
Brazil,Serie A,2017,23/07/2017,23:00,Atletico GO,Botafogo RJ,1,1,D,2.44,3.15,3.36,2.62,3.18,3.36,2.39,3.02,3.12
Brazil,Serie A,2017,23/07/2017,23:00,Atletico-MG,Vasco,1,2,A,1.74,3.83,5.35,1.85,3.98,5.35,1.75,3.61,4.52
Brazil,Serie A,2017,23/07/2017,23:00,Atletico-PR,Ponte Preta,0,2,A,2.29,3.26,3.55,2.32,3.28,3.8,2.18,3.09,3.43
Brazil,Serie A,2017,25/07/2017,00:00,Sao Paulo,Gremio,1,1,D,2.4,3.34,3.24,2.57,3.48,3.35,2.3,3.12,3.15
Brazil,Serie A,2017,29/07/2017,20:00,Botafogo RJ,Sao Paulo,3,4,A,2.56,3.32,3,2.56,3.38,3.2,2.41,3.12,2.97
Brazil,Serie A,2017,29/07/2017,23:00,Palmeiras,Avai,2,0,H,1.31,5.45,12.4,1.36,5.5,12.5,1.31,4.84,10.02
Brazil,Serie A,2017,30/07/2017,15:00,Chapecoense-SC,Atletico GO,1,2,A,1.55,4.27,6.83,1.58,4.33,7,1.53,4.03,6.01
Brazil,Serie A,2017,30/07/2017,20:00,Bahia,Sport Recife,1,3,A,1.63,3.93,6.31,1.7,3.93,6.31,1.62,3.67,5.5
Brazil,Serie A,2017,30/07/2017,20:00,Corinthians,Flamengo RJ,1,1,D,2.58,3.19,3.08,2.58,3.25,3.21,2.43,3.11,2.96
Brazil,Serie A,2017,30/07/2017,20:00,Coritiba,Atletico-MG,0,2,A,2.41,3.25,3.3,2.5,3.4,3.3,2.34,3.2,3.02
Brazil,Serie A,2017,30/07/2017,23:00,Cruzeiro,Vitoria,0,0,D,1.43,4.73,8.67,1.44,4.8,8.9,1.41,4.4,7.5
Brazil,Serie A,2017,30/07/2017,23:00,Gremio,Santos,1,1,D,1.7,3.64,6.09,1.72,3.75,6.5,1.65,3.56,5.48
